title,genre,link
Saint☆Oniisan (Movie),"['Comedy', 'Seinen', 'Slice of Life']",https://myanimelist.net/anime/15771/Saint%E2%98%86Oniisan_Movie
Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",https://myanimelist.net/anime/82/Mobile_Suit_Gundam_0080__War_in_the_Pocket
Mahoujin Guruguru (2017),"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']",https://myanimelist.net/anime/34745/Mahoujin_Guruguru_2017
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",https://myanimelist.net/anime/3782/Kara_no_Kyoukai_2__Satsujin_Kousatsu_Zen
Jungle wa Itsumo Hare nochi Guu,"['Slice of Life', 'Comedy', 'School']",https://myanimelist.net/anime/253/Jungle_wa_Itsumo_Hare_nochi_Guu
Jormungand,"['Action', 'Adventure', 'Seinen']",https://myanimelist.net/anime/12413/Jormungand
Higashi no Eden,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']",https://myanimelist.net/anime/5630/Higashi_no_Eden
Hello World,['Sci-Fi'],https://myanimelist.net/anime/38816/Hello_World
Gochuumon wa Usagi Desu ka??,"['Slice of Life', 'Comedy']",https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_Desu_ka
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'Shounen']",https://myanimelist.net/anime/2321/Giant_Robo_the_Animation__Chikyuu_ga_Seishi_Suru_Hi
Douluo Dalu 2nd Season,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Martial Arts', 'Fantasy']",https://myanimelist.net/anime/37822/Douluo_Dalu_2nd_Season
Detective Conan Movie 12: Full Score of Fear,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",https://myanimelist.net/anime/4447/Detective_Conan_Movie_12__Full_Score_of_Fear
Detective Conan Movie 09: Strategy Above the Depths,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",https://myanimelist.net/anime/1505/Detective_Conan_Movie_09__Strategy_Above_the_Depths
City Hunter 3,"['Action', 'Comedy', 'Mystery', 'Shounen']",https://myanimelist.net/anime/1472/City_Hunter_3
Break Blade 4: Sanka no Chi,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",https://myanimelist.net/anime/9465/Break_Blade_4__Sanka_no_Chi
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['Slice of Life', 'Psychological', 'Drama', 'School']",https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV
Wotaku ni Koi wa Muzukashii: Youth,"['Slice of Life', 'Comedy', 'Romance']",https://myanimelist.net/anime/38349/Wotaku_ni_Koi_wa_Muzukashii__Youth
The Everlasting Guilty Crown,['Music'],https://myanimelist.net/anime/17949/The_Everlasting_Guilty_Crown
Tasogare Otome x Amnesia,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']",https://myanimelist.net/anime/12445/Tasogare_Otome_x_Amnesia
